category,text,image,agency
การสัญจร,"บรรยายความรู้สึก|แสดงความรู้สึก","รูปภาพเพิ่มเดิมของสถานที่|รูปภาพการสัญจร",environment
กู้เงิน,กู้ไปทำอะไร,หน้าคนกู้,environment
ดรอป,ได้เกรดเท่าไหร่,,"telecommunicationsMinister"
ง่วง,,,"telecommunicationsMinister"
ไฟไหม้,"ไฟไหม้ตึก|ไฟไหม้ตึก|ไฟไหม้ตึก","รูปไฟไหม้|รูปไฟไหม้|รูปไฟไหม้",violence
น้ำท่วม,,,violence
นอน,"หลับยาว|หลับไม่ตื่น|ฟื้นไม่มี",รูปคนนอน|บรรทม,violence
หิว,กุหิว,,violence
ผอม,,"ไม่มีแรง|นอนน้อย|รูปคนผอม",violence
นก,นกเอี้ยง|กา|นกพิราบ,รูปนกเอี้ยง|รูปกาพ,violence
บ้าน,อธิบายหน้าบ้าน,"ภาพเพิ่มเติมหน้าบ้าน|ภาพเพิ่มเติมหลังบ้าน",violence
